rec_id,from_party,to_party,timestamp,kind
REC-00400,Registry,Suryodaya Energy,2026-04-18T10:00:00,issue
REC-00400,Suryodaya Energy,Evergreen Corp Sustainability,2026-05-02T12:57:11.896082,transfer
REC-00401,Registry,Marwar Renewables,2026-04-18T10:00:00,issue
REC-00401,Marwar Renewables,Greenleaf Offsets,2026-05-06T12:03:37.971278,transfer
REC-00402,Registry,Deccan Power Co,2026-04-18T10:00:00,issue
REC-00403,Registry,Karnataka Green Grid,2026-04-18T10:00:00,issue
REC-00404,Registry,Vindhya Solar,2026-04-18T10:00:00,issue
REC-00404,Vindhya Solar,Evergreen Corp Sustainability,2026-04-23T20:20:16.982515,transfer
REC-00405,Registry,Helios Trading Energy,2026-04-18T10:00:00,issue
REC-00405,Helios Trading Energy,Blue Delta Commodities,2026-04-23T15:24:00.458367,transfer
REC-00406,Registry,Thar Photovoltaic,2026-04-18T10:00:00,issue
REC-00407,Registry,Coromandel Clean Energy,2026-04-18T10:00:00,issue
REC-00407,Coromandel Clean Energy,Greenleaf Offsets,2026-04-28T05:34:24.159066,transfer
REC-00408,Registry,Suryodaya Energy,2026-05-03T10:00:00,issue
REC-00409,Registry,Marwar Renewables,2026-05-03T10:00:00,issue
REC-00410,Registry,Deccan Power Co,2026-05-03T10:00:00,issue
REC-00410,Deccan Power Co,Kestrel Metals Ltd,2026-05-19T19:02:35.762393,transfer
REC-00411,Registry,Karnataka Green Grid,2026-05-03T10:00:00,issue
REC-00411,Karnataka Green Grid,Nimbus Carbon Traders,2026-05-19T04:44:19.583189,transfer
REC-00412,Registry,Vindhya Solar,2026-05-03T10:00:00,issue
REC-00413,Registry,Helios Trading Energy,2026-05-03T10:00:00,issue
REC-00413,Helios Trading Energy,Blue Delta Commodities,2026-05-10T07:24:27.818876,transfer
REC-00414,Registry,Thar Photovoltaic,2026-05-03T10:00:00,issue
REC-00414,Thar Photovoltaic,Blue Delta Commodities,2026-05-13T18:07:24.237146,transfer
REC-00414,Blue Delta Commodities,Kestrel Metals Ltd,2026-05-30T09:07:20.098875,transfer
REC-00415,Registry,Coromandel Clean Energy,2026-05-03T10:00:00,issue
REC-00415,Coromandel Clean Energy,Blue Delta Commodities,2026-05-11T01:30:05.891275,transfer
REC-00416,Registry,Suryodaya Energy,2026-05-18T10:00:00,issue
REC-00416,Suryodaya Energy,Blue Delta Commodities,2026-06-05T20:53:59.410379,transfer
REC-00417,Registry,Marwar Renewables,2026-05-18T10:00:00,issue
REC-00418,Registry,Deccan Power Co,2026-05-18T10:00:00,issue
REC-00418,Deccan Power Co,Greenleaf Offsets,2026-06-07T09:58:41.611498,transfer
REC-00418,Greenleaf Offsets,Kestrel Metals Ltd,2026-06-17T16:44:20.735866,transfer
REC-00419,Registry,Karnataka Green Grid,2026-05-18T10:00:00,issue
REC-00420,Registry,Vindhya Solar,2026-05-18T10:00:00,issue
