id,plant_id,period_start,period_end,energy_mwh,issued_at,holder
REC-00400,PLT-001,2026-04-01,2026-04-15,305.3,2026-04-18T10:00:00,Evergreen Corp Sustainability
REC-00401,PLT-002,2026-04-01,2026-04-15,185.3,2026-04-18T10:00:00,Greenleaf Offsets
REC-00402,PLT-003,2026-04-01,2026-04-15,275.1,2026-04-18T10:00:00,Deccan Power Co
REC-00403,PLT-004,2026-04-01,2026-04-15,159.1,2026-04-18T10:00:00,Karnataka Green Grid
REC-00404,PLT-005,2026-04-01,2026-04-15,53.5,2026-04-18T10:00:00,Evergreen Corp Sustainability
REC-00405,PLT-006,2026-04-01,2026-04-15,139.4,2026-04-18T10:00:00,Blue Delta Commodities
REC-00406,PLT-007,2026-04-01,2026-04-15,399.3,2026-04-18T10:00:00,Thar Photovoltaic
REC-00407,PLT-008,2026-04-01,2026-04-15,238.6,2026-04-18T10:00:00,Greenleaf Offsets
REC-00408,PLT-001,2026-04-16,2026-04-30,330.2,2026-05-03T10:00:00,Suryodaya Energy
REC-00409,PLT-002,2026-04-16,2026-04-30,180.3,2026-05-03T10:00:00,Marwar Renewables
REC-00410,PLT-003,2026-04-16,2026-04-30,265.7,2026-05-03T10:00:00,Kestrel Metals Ltd
REC-00411,PLT-004,2026-04-16,2026-04-30,159.9,2026-05-03T10:00:00,Nimbus Carbon Traders
REC-00412,PLT-005,2026-04-16,2026-04-30,49.0,2026-05-03T10:00:00,Vindhya Solar
REC-00413,PLT-006,2026-04-16,2026-04-30,136.9,2026-05-03T10:00:00,Blue Delta Commodities
REC-00414,PLT-007,2026-04-16,2026-04-30,399.2,2026-05-03T10:00:00,Kestrel Metals Ltd
REC-00415,PLT-008,2026-04-16,2026-04-30,257.4,2026-05-03T10:00:00,Blue Delta Commodities
REC-00416,PLT-001,2026-05-01,2026-05-15,322.0,2026-05-18T10:00:00,Blue Delta Commodities
REC-00417,PLT-002,2026-05-01,2026-05-15,203.5,2026-05-18T10:00:00,Marwar Renewables
REC-00418,PLT-003,2026-05-01,2026-05-15,267.0,2026-05-18T10:00:00,Kestrel Metals Ltd
REC-00419,PLT-004,2026-05-01,2026-05-15,146.8,2026-05-18T10:00:00,Karnataka Green Grid
REC-00420,PLT-005,2026-05-01,2026-05-15,56.5,2026-05-18T10:00:00,Blue Delta Commodities
REC-00422,PLT-006,2026-05-01,2026-05-15,130.9,2026-05-18T10:00:00,Nimbus Carbon Traders
REC-00423,PLT-007,2026-05-01,2026-05-15,389.0,2026-05-18T10:00:00,Evergreen Corp Sustainability
REC-00424,PLT-008,2026-05-01,2026-05-15,360.2,2026-05-18T10:00:00,Nimbus Carbon Traders
REC-00425,PLT-001,2026-05-16,2026-05-30,338.3,2026-06-02T10:00:00,Kestrel Metals Ltd
REC-00426,PLT-002,2026-05-16,2026-05-30,209.1,2026-06-02T10:00:00,Evergreen Corp Sustainability
REC-00427,PLT-003,2026-05-16,2026-05-30,238.3,2026-06-02T10:00:00,Nimbus Carbon Traders
REC-00428,PLT-004,2026-05-16,2026-05-30,159.9,2026-06-02T10:00:00,Nimbus Carbon Traders
REC-00429,PLT-005,2026-05-16,2026-05-30,50.4,2026-06-02T10:00:00,Vindhya Solar
REC-00430,PLT-006,2026-05-16,2026-05-30,208.9,2026-06-02T10:00:00,Nimbus Carbon Traders
REC-00431,PLT-007,2026-05-16,2026-05-30,413.9,2026-06-02T10:00:00,Greenleaf Offsets
REC-00432,PLT-008,2026-05-16,2026-05-30,255.0,2026-06-02T10:00:00,Nimbus Carbon Traders
REC-00433,PLT-001,2026-05-31,2026-06-14,269.5,2026-06-17T10:00:00,Blue Delta Commodities
REC-00434,PLT-002,2026-05-31,2026-06-14,162.3,2026-06-17T10:00:00,Evergreen Corp Sustainability
REC-00435,PLT-003,2026-05-31,2026-06-14,212.8,2026-06-17T10:00:00,Kestrel Metals Ltd
REC-00436,PLT-004,2026-05-31,2026-06-14,127.3,2026-06-17T10:00:00,Greenleaf Offsets
REC-00437,PLT-005,2026-05-31,2026-06-14,48.6,2026-06-17T10:00:00,Evergreen Corp Sustainability
REC-00438,PLT-006,2026-05-31,2026-06-14,117.6,2026-06-17T10:00:00,Helios Trading Energy
REC-00439,PLT-007,2026-05-31,2026-06-14,309.8,2026-06-17T10:00:00,Greenleaf Offsets
REC-00440,PLT-008,2026-05-31,2026-06-14,169.6,2026-06-17T10:00:00,Kestrel Metals Ltd
REC-00441,PLT-001,2026-06-15,2026-06-29,293.0,2026-07-02T10:00:00,Suryodaya Energy
REC-00442,PLT-002,2026-06-15,2026-06-29,158.0,2026-07-02T10:00:00,Blue Delta Commodities
REC-00443,PLT-003,2026-06-15,2026-06-29,217.2,2026-07-02T10:00:00,Deccan Power Co
REC-00444,PLT-004,2026-06-15,2026-06-29,130.7,2026-07-02T10:00:00,Blue Delta Commodities
REC-00445,PLT-005,2026-06-15,2026-06-29,28.2,2026-07-02T10:00:00,Greenleaf Offsets
REC-00446,PLT-006,2026-06-15,2026-06-29,110.2,2026-07-02T10:00:00,Evergreen Corp Sustainability
REC-00447,PLT-007,2026-06-15,2026-06-29,349.5,2026-07-02T10:00:00,Greenleaf Offsets
REC-00448,PLT-008,2026-06-15,2026-06-29,181.6,2026-07-02T10:00:00,Blue Delta Commodities
REC-00421,PLT-006,2026-05-16,2026-05-30,204.7,2026-06-08T16:30:00,Helios Trading Energy
